Year,Month,Province,Rainfall_Final
2021,Jul,มุกดาหาร,399.8333333333333
2021,Jul,ยะลา,0.0
2021,Jul,ระนอง,756.1666666666666
2021,Jul,ระยอง,212.7333333333333
2021,Jul,ราชบุรี,0.0
2021,Jul,ร้อยเอ็ด,272.93333333333334
2021,Jul,ลพบุรี,121.20833333333334
2021,Jul,ลำปาง,130.96666666666667
2021,Jul,ลำพูน,110.33333333333331
2021,Jul,ศรีสะเกษ,0.0
2021,Jul,สกลนคร,305.43333333333334
2021,Jul,สงขลา,91.76666666666668
2021,Jul,สตูล,226.33333333333331
2021,Jul,สระแก้ว,171.73333333333335
2021,Jul,สุพรรณบุรี,89.56666666666666
2021,Jul,สุราษฎร์ธานี,0.2666666666666666
2021,Jul,สุรินทร์,203.5666666666667
2021,Jul,หนองคาย,438.4333333333333
2021,Jul,อุดรธานี,0.5333333333333333
2021,Jul,อุตรดิตถ์,180.1
2021,Jul,อุบลราชธานี,438.23333333333335
2021,Jul,เชียงราย,238.23333333333332
2021,Jul,เชียงใหม่,151.46666666666667
2021,Jul,เพชรบุรี,74.06666666666668
2021,Jul,เพชรบูรณ์,173.05555555555554
2021,Jul,เลย,271.6333333333333
2021,Jul,แพร่,192.66666666666663
2021,Jul,แม่ฮ่องสอน,208.13333333333333
2021,Jun,Chok Chai,126.35
2021,Jun,Hua Hin,30.85
2021,Jun,Kabin Buri,267.29999999999995
2021,Jun,Khlong Yai,819.05
2021,Jun,Kosum Phisai,145.9
2021,Jun,Lampang,116.85
2021,Jun,Lamphun,103.5
2021,Jun,Lom Sak,104.05
2021,Jun,Lop Buri,65.7
2021,Jun,Mae Sariang,124.05
2021,Jun,Mae Sot,265.25
2021,Jun,Mukdahan,137.89999999999998
2021,Jun,Nakhon Phanom,414.05
2021,Jun,Nakhon Ratchasima,90.5
2021,Jun,Nakhon Sawan,83.8
2021,Jun,Nang Rong,177.4
2021,Jun,Narathiwat,198.05
2021,Jun,Nong Khai,339.9
2021,Jun,Phayao,113.85
2021,Jun,Phetchabun,135.5
2021,Jun,Phetchaburi,28.15
2021,Jun,Phitsanulok,102.45
2021,Jun,Prachin Buri,175.75
2021,Jun,Ranong,519.55
2021,Jun,Rayong,83.0
2021,Jun,Roi Et,167.64999999999998
2021,Jun,Sakon Nakhon,273.95
2021,Jun,Satun,135.14999999999998
2021,Jun,Songkhla,96.85
2021,Jun,Suphan Buri,51.75
2021,Jun,Surin,190.15
2021,Jun,Tha Tum,29.35
2021,Jun,Ubon Ratchathani,256.85
2021,Jun,Uttaradit,91.3
2021,Jun,Wichian Buri,161.4
2021,Jun,กรุงเทพมหานคร,171.2
2021,Jun,กาญจนบุรี,62.25
2021,Jun,กำแพงเพชร,124.5
2021,Jun,ขอนแก่น,122.2
2021,Jun,จันทบุรี,201.7
2021,Jun,ฉะเชิงเทรา,75.2
2021,Jun,ชลบุรี,67.45
2021,Jun,ชัยนาท,27.6
2021,Jun,ชัยภูมิ,53.7
2021,Jun,ชุมพร,113.0
2021,Jun,ตรัง,0.7
2021,Jun,ตราด,819.05
2021,Jun,ตาก,22.224999999999998
2021,Jun,นครพนม,494.7
2021,Jun,นครราชสีมา,43.6
2021,Jun,นครศรีธรรมราช,93.0
2021,Jun,นครสวรรค์,83.6
2021,Jun,นราธิวาส,198.05
2021,Jun,น่าน,130.2
2021,Jun,บุรีรัมย์,177.4
2021,Jun,ปทุมธานี,68.5
2021,Jun,ประจวบคีรีขันธ์,52.9
2021,Jun,ปราจีนบุรี,221.525
2021,Jun,ปัตตานี,132.25
2021,Jun,พระนครศรีอยุธยา,51.8
2021,Jun,พะเยา,113.85
2021,Jun,พังงา,0.55
2021,Jun,พัทลุง,39.4
2021,Jun,พิจิตร,0.0
2021,Jun,พิษณุโลก,102.45
2021,Jun,ภูเก็ต,268.07500000000005
2021,Jun,มหาสารคาม,145.9
2021,Jun,มุกดาหาร,137.89999999999998
2021,Jun,ยะลา,302.7
2021,Jun,ระนอง,519.55
2021,Jun,ระยอง,115.4
2021,Jun,ราชบุรี,0.0
2021,Jun,ร้อยเอ็ด,202.4
2021,Jun,ลพบุรี,137.025
2021,Jun,ลำปาง,116.85
2021,Jun,ลำพูน,103.5
2021,Jun,ศรีสะเกษ,140.2
2021,Jun,สกลนคร,221.2
2021,Jun,สงขลา,143.2
2021,Jun,สตูล,135.14999999999998
2021,Jun,สระแก้ว,110.5
2021,Jun,สุพรรณบุรี,51.75
2021,Jun,สุราษฎร์ธานี,70.65
2021,Jun,สุรินทร์,212.6
2021,Jun,หนองคาย,339.9
2021,Jun,อุดรธานี,0.5
2021,Jun,อุตรดิตถ์,91.3
2021,Jun,อุบลราชธานี,257.9
2021,Jun,เชียงราย,209.5
