Station,Year,Month,PM2.5
68T,2020,Oct,20.0
68T,2020,Nov,29.0
68T,2020,Dec,24.0
40T,2020,Jan,96.0
40T,2020,Feb,47.0
40T,2020,Apr,46.0
40T,2020,May,22.0
40T,2020,Jul,11.0
40T,2020,Aug,10.0
40T,2020,Sep,13.0
40T,2020,Oct,14.0
40T,2020,Nov,20.0
40T,2020,Dec,27.0
39T,2020,Jan,74.0
39T,2020,Feb,51.0
39T,2020,Mar,57.0
39T,2020,Apr,46.0
39T,2020,May,19.0
39T,2020,Jun,6.0
39T,2020,Jul,6.0
39T,2020,Aug,6.0
39T,2020,Sep,7.0
39T,2020,Oct,6.0
39T,2020,Nov,10.0
39T,2020,Dec,15.0
38T,2020,Jan,66.0
38T,2020,Feb,51.0
38T,2020,Mar,57.0
38T,2020,Apr,46.0
38T,2020,May,21.0
38T,2020,Jun,8.0
38T,2020,Jul,8.0
38T,2020,Aug,6.0
38T,2020,Sep,7.0
38T,2020,Oct,7.0
38T,2020,Nov,13.0
38T,2020,Dec,22.0
37T,2020,Jan,76.0
37T,2020,Feb,57.0
37T,2020,Mar,65.0
37T,2020,Apr,53.0
37T,2020,May,20.0
37T,2020,Jun,7.0
37T,2020,Jul,8.0
37T,2020,Aug,6.0
37T,2020,Sep,8.0
37T,2020,Oct,10.0
37T,2020,Nov,18.0
37T,2020,Dec,29.0
69T,2020,Jan,78.0
69T,2020,Feb,64.0
69T,2020,Mar,62.0
69T,2020,Apr,45.0
69T,2020,May,23.0
69T,2020,Jun,9.0
69T,2020,Jul,10.0
69T,2020,Aug,9.0
69T,2020,Sep,11.0
69T,2020,Oct,11.0
69T,2020,Nov,22.0
69T,2020,Dec,27.0
58T,2020,Jan,29.0
58T,2020,Feb,86.0
58T,2020,Apr,73.0
58T,2020,May,18.0
58T,2020,Jul,4.0
58T,2020,Aug,5.0
58T,2020,Sep,5.0
58T,2020,Oct,7.0
58T,2020,Nov,11.0
58T,2020,Dec,18.0
70T,2020,Jan,55.0
70T,2020,Feb,61.0
70T,2020,Mar,94.0
70T,2020,Apr,56.0
70T,2020,May,21.0
70T,2020,Jun,8.0
70T,2020,Jul,8.0
70T,2020,Aug,7.0
70T,2020,Sep,10.0
70T,2020,Oct,11.0
70T,2020,Nov,20.0
70T,2020,Dec,35.0
75T,2020,Jan,35.0
75T,2020,Feb,44.0
75T,2020,Mar,86.0
75T,2020,Apr,76.0
75T,2020,May,19.0
75T,2020,Jun,7.0
75T,2020,Jul,7.0
75T,2020,Aug,6.0
75T,2020,Sep,8.0
75T,2020,Oct,8.0
75T,2020,Nov,13.0
75T,2020,Dec,17.0
67T,2020,Jan,49.0
67T,2020,Feb,57.0
67T,2020,Apr,54.0
67T,2020,May,24.0
67T,2020,Jul,10.0
67T,2020,Aug,9.0
67T,2020,Sep,10.0
67T,2020,Oct,13.0
67T,2020,Nov,21.0
67T,2020,Dec,29.0
36T,2020,Jan,43.0
36T,2020,Feb,54.0
36T,2020,Mar,81.0
36T,2020,Apr,60.0
36T,2020,May,19.0
36T,2020,Jun,7.0
36T,2020,Jul,7.0
36T,2020,Aug,9.0
36T,2020,Sep,10.0
36T,2020,Oct,9.0
